"PRODUCT","SUBPRODUCT","STATE"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","Credit card","TX"
"Mortgage","Home equity loan or line of credit","FL"
"Debt collection","Medical","AZ"
"Mortgage","Other mortgage","CA"
"Debt collection","Credit card","CA"
"Credit reporting","","AZ"
"Credit reporting","","IL"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","CA"
"Debt collection","","NY"
"Consumer loan","Vehicle loan","NC"
"Credit reporting","","AZ"
"Student loan","Non-federal student loan","MI"
"Debt collection","Payday loan",""
"Mortgage","Conventional fixed mortgage","OH"
"Credit reporting","","TX"
"Bank account or service","Checking account","NJ"
"Debt collection","Credit card","CA"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","LA"
"Debt collection","Other (phone, health club, etc.)","AK"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","Credit card","CA"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional fixed mortgage","IN"
"Bank account or service","Checking account","GA"
"Bank account or service","Checking account","IN"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Mortgage","Home equity loan or line of credit","CA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Credit card","","NY"
"Credit reporting","","FL"
"Credit reporting","","PA"
"Mortgage","Other mortgage","CA"
"Mortgage","Conventional fixed mortgage","NV"
"Credit card","","NY"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","NC"
"Debt collection","Medical","CA"
"Debt collection","Credit card","CA"
"Mortgage","FHA mortgage","OH"
"Mortgage","FHA mortgage","PA"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Credit reporting","","FL"
"Debt collection","Credit card","NY"
"Debt collection","Credit card","NY"
"Debt collection","Other (phone, health club, etc.)","CO"
"Mortgage","Reverse mortgage","GA"
"Credit reporting","","FL"
"Bank account or service","Other bank product/service","NV"
"Mortgage","Conventional fixed mortgage","DE"
"Mortgage","Conventional fixed mortgage","IL"
"Credit reporting","","KY"
"Debt collection","Other (phone, health club, etc.)","FL"
"Debt collection","","KY"
"Consumer loan","Vehicle loan","IL"
"Debt collection","Other (phone, health club, etc.)","OR"
"Debt collection","Other (phone, health club, etc.)","OR"
"Credit reporting","","LA"
"Credit reporting","","DE"
"Bank account or service","Checking account","PA"
"Mortgage","Conventional fixed mortgage","IL"
"Mortgage","FHA mortgage","CA"
"Credit reporting","","NM"
"Credit card","","MA"
"Mortgage","Other mortgage","NY"
"Debt collection","","CA"
"Credit reporting","","CO"
"Credit reporting","","FL"
"Credit reporting","","FL"
"Mortgage","Home equity loan or line of credit","CA"
"Mortgage","FHA mortgage","NV"
"Mortgage","Conventional fixed mortgage","MS"
"Bank account or service","Checking account","AZ"
"Debt collection","Medical","FL"
"Mortgage","VA mortgage","CA"
"Debt collection","Credit card","KS"
"Mortgage","Other mortgage","MD"
"Debt collection","","IA"
"Money transfers","Domestic (US) money transfer","OH"
"Mortgage","Conventional adjustable mortgage (ARM)","NJ"
"Mortgage","Conventional fixed mortgage","MS"
"Debt collection","Other (phone, health club, etc.)","GA"
"Debt collection","","MI"
"Mortgage","Other mortgage","CA"
"Mortgage","Conventional fixed mortgage","FL"
"Bank account or service","Checking account","CT"
"Mortgage","Other mortgage","MI"
"Bank account or service","Checking account","NJ"
"Credit reporting","","OK"
"Mortgage","FHA mortgage","GA"
"Credit card","","NV"
"Bank account or service","Other bank product/service","PA"
"Mortgage","FHA mortgage","MI"
"Consumer loan","Vehicle lease","OH"
"Consumer loan","Vehicle lease","NY"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Student loan","Non-federal student loan","NY"
"Credit reporting","","IL"
"Mortgage","Other mortgage","IL"
"Credit reporting","","NJ"
"Student loan","Non-federal student loan","KY"
"Bank account or service","Checking account","MD"
"Debt collection","","TX"
"Mortgage","VA mortgage","FL"
"Student loan","Non-federal student loan","NJ"
"Credit reporting","","CO"
"Mortgage","Conventional fixed mortgage","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","SC"
"Credit card","","FL"
"Mortgage","Other mortgage","CO"
"Credit reporting","","WA"
"Payday loan","","GA"
"Credit reporting","","ME"
"Payday loan","","WI"
"Mortgage","Conventional fixed mortgage","MN"
"Bank account or service","Savings account","PR"
"Mortgage","Other mortgage","TX"
"Debt collection","","CA"
"Debt collection","Mortgage","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Bank account or service","Checking account","WI"
"Mortgage","Conventional fixed mortgage","NC"
"Credit card","","NY"
"Credit reporting","","CA"
"Credit reporting","","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Credit card","","SC"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","SC"
"Bank account or service","Checking account","NY"
"Credit reporting","","IL"
"Mortgage","Conventional fixed mortgage","NJ"
"Bank account or service","Checking account","CA"
"Mortgage","Other mortgage","GA"
"Debt collection","Mortgage","GA"
"Credit reporting","","TN"
"Debt collection","Medical","AZ"
"Mortgage","Conventional fixed mortgage","GA"
"Mortgage","Other mortgage","FL"
"Mortgage","Other mortgage","FL"
"Credit reporting","","NJ"
"Credit reporting","","WI"
"Mortgage","Other mortgage","PA"
"Mortgage","FHA mortgage","OH"
"Credit reporting","","FL"
"Student loan","Non-federal student loan","CA"
"Mortgage","Other mortgage","NJ"
"Mortgage","VA mortgage","CA"
"Credit reporting","",""
"Mortgage","Other mortgage","IL"
"Mortgage","Other mortgage","IL"
"Mortgage","Conventional fixed mortgage","RI"
"Credit card","","NJ"
"Credit card","","OH"
"Debt collection","","FL"
"Debt collection","Other (phone, health club, etc.)","VA"
"Bank account or service","Checking account","IL"
"Debt collection","Credit card","PA"
"Credit reporting","","VA"
"Mortgage","FHA mortgage","GA"
"Credit card","","DC"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Debt collection","Medical","OH"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","FHA mortgage","NY"
"Credit reporting","","MA"
"Credit card","","CA"
"Credit reporting","","CA"
"Bank account or service","Savings account",""
"Credit reporting","","MD"
"Student loan","Non-federal student loan","NJ"
"Credit reporting","","CA"
"Student loan","Non-federal student loan","VA"
"Credit reporting","",""
"Credit reporting","",""
"Credit reporting","","CA"
"Debt collection","Medical","VA"
"Mortgage","Conventional fixed mortgage","TX"
"Consumer loan","Installment loan","FL"
"Debt collection","Other (phone, health club, etc.)","GA"
"Debt collection","Medical","TN"
"Debt collection","Medical","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","AZ"
"Credit card","","NJ"
"Credit card","","VT"
"Mortgage","Other mortgage","NY"
"Debt collection","Credit card","NY"
"Mortgage","Other mortgage","SC"
"Mortgage","Other mortgage","NC"
"Debt collection","Credit card","NY"
"Credit reporting","","NY"
"Bank account or service","Savings account","WI"
"Bank account or service","Checking account","FL"
"Bank account or service","Checking account","PA"
"Bank account or service","Checking account","PA"
"Debt collection","Credit card","NY"
"Credit reporting","","NY"
"Credit reporting","","NY"
"Mortgage","Other mortgage","CA"
"Debt collection","Credit card","NY"
"Debt collection","Credit card","NY"
"Debt collection","Credit card","NY"
"Credit card","","MO"
"Credit reporting","","NY"
"Mortgage","FHA mortgage","NY"
"Credit card","","CA"
"Bank account or service","Other bank product/service","FL"
"Credit reporting","","OH"
"Debt collection","Auto","NM"
"Credit reporting","","NY"
"Consumer loan","Installment loan","TN"
"Credit reporting","","CA"
"Debt collection","Medical","WI"
"Credit reporting","","OH"
"Credit reporting","","OH"
"Debt collection","Credit card","NY"
"Money transfers","Domestic (US) money transfer","NY"
"Mortgage","Conventional adjustable mortgage (ARM)","GA"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Credit card","NY"
"Debt collection","Credit card","NY"
"Debt collection","Credit card","NY"
"Mortgage","Other mortgage","VT"
"Credit reporting","","NY"
"Credit reporting","","MD"
"Credit reporting","","NY"
"Credit card","","CA"
"Debt collection","Other (phone, health club, etc.)","MO"
"Bank account or service","Savings account","FL"
"Mortgage","Home equity loan or line of credit","OH"
"Debt collection","Other (phone, health club, etc.)","GA"
"Credit reporting","","NC"
"Debt collection","Mortgage","VT"
"Debt collection","Credit card","KY"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","NH"
"Credit card","","CA"
"Consumer loan","Installment loan","CA"
"Credit reporting","","VA"
"Bank account or service","Checking account","PR"
"Credit card","","FL"
"Credit card","","PA"
"Student loan","Non-federal student loan","MO"
"Student loan","Non-federal student loan","CA"
"Credit card","","TX"
"Mortgage","Conventional fixed mortgage","KY"
"Debt collection","Medical","VA"
"Bank account or service","Checking account","NY"
"Credit reporting","",""
"Credit card","","AZ"
"Credit reporting","",""
"Mortgage","Other mortgage","AZ"
"Debt collection","","FL"
"Debt collection","Other (phone, health club, etc.)","NY"
"Bank account or service","Checking account",""
"Payday loan","","TX"
"Mortgage","Conventional fixed mortgage","NC"
"Consumer loan","Vehicle loan","TX"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Medical","NY"
"Credit card","","NH"
"Debt collection","Credit card","GA"
"Debt collection","Medical","GA"
"Credit card","","NC"
"Bank account or service","Checking account","NV"
"Mortgage","Conventional fixed mortgage","MD"
"Debt collection","Other (phone, health club, etc.)","NC"
"Credit card","","NC"
"Debt collection","Payday loan","WI"
"Bank account or service","Other bank product/service","FL"
"Mortgage","Conventional fixed mortgage","CO"
"Debt collection","Medical","PA"
"Mortgage","Second mortgage","PA"
"Debt collection","Other (phone, health club, etc.)","WA"
"Credit reporting","","IL"
"Debt collection","Payday loan","NM"
"Consumer loan","Installment loan","AZ"
"Mortgage","Conventional adjustable mortgage (ARM)","VA"
"Debt collection","Credit card","SC"
"Credit card","","NY"
"Mortgage","Conventional fixed mortgage","OK"
"Mortgage","Home equity loan or line of credit","MA"
"Credit reporting","","IL"
"Credit card","","NY"
"Credit reporting","","TN"
"Credit reporting","","IL"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Conventional fixed mortgage","TX"
"Consumer loan","Vehicle loan","FL"
"Debt collection","Other (phone, health club, etc.)","OK"
"Mortgage","Other mortgage","KY"
"Mortgage","Conventional fixed mortgage","NY"
"Mortgage","Other mortgage","NY"
"Mortgage","Conventional fixed mortgage","MO"
"Mortgage","Other mortgage","TX"
"Credit reporting","","VA"
"Credit reporting","","VA"
"Mortgage","Other mortgage","MD"
"Mortgage","Other mortgage","KY"
"Bank account or service","Checking account","WA"
"Mortgage","Other mortgage","GA"
"Bank account or service","Checking account","RI"
"Mortgage","Other mortgage","OH"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","OR"
"Debt collection","Credit card","AZ"
"Mortgage","Other mortgage","CA"
"Debt collection","Payday loan","CA"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","MD"
"Bank account or service","Checking account","FL"
"Mortgage","FHA mortgage","MN"
"Debt collection","","AZ"
"Mortgage","Other mortgage","NY"
"Bank account or service","Checking account","NJ"
"Mortgage","Other mortgage","GA"
"Mortgage","Other mortgage","VA"
"Mortgage","Other mortgage","PA"
"Mortgage","Other mortgage","RI"
"Mortgage","Other mortgage","RI"
"Debt collection","Medical","OR"
"Debt collection","Credit card","VT"
"Mortgage","Conventional adjustable mortgage (ARM)","AZ"
"Mortgage","Conventional fixed mortgage","OH"
"Debt collection","Other (phone, health club, etc.)","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Credit card","","CA"
"Credit card","","AK"
"Debt collection","","MA"
"Mortgage","Conventional fixed mortgage","IN"
"Debt collection","Other (phone, health club, etc.)","DE"
"Debt collection","Credit card","CA"
"Debt collection","Medical","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Home equity loan or line of credit","RI"
"Credit card","","CA"
"Bank account or service","Checking account","IL"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Reverse mortgage","TX"
"Debt collection","Medical","TX"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Bank account or service","Other bank product/service","NM"
"Mortgage","Conventional adjustable mortgage (ARM)","FL"
"Student loan","Non-federal student loan","WA"
"Mortgage","Conventional fixed mortgage","CO"
"Debt collection","Medical","FL"
"Credit card","","RI"
"Credit card","","NJ"
"Mortgage","Other mortgage","WI"
"Mortgage","Other mortgage","FL"
"Debt collection","","CA"
"Credit card","","CA"
"Mortgage","Other mortgage","TX"
"Debt collection","Payday loan","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","TX"
"Credit reporting","","OH"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","Other mortgage","FL"
"Mortgage","FHA mortgage","FL"
"Credit card","","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","TX"
"Credit reporting","","TX"
"Consumer loan","Vehicle loan","IL"
"Credit card","","PR"
"Debt collection","Other (phone, health club, etc.)","TN"
"Debt collection","Payday loan","AK"
"Mortgage","Other mortgage","MD"
"Debt collection","Payday loan","CT"
"Debt collection","","NY"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Bank account or service","Checking account","CA"
"Credit reporting","","CA"
"Student loan","Non-federal student loan","PA"
"Credit card","","CA"
"Debt collection","Other (phone, health club, etc.)","VA"
"Mortgage","Conventional fixed mortgage","FL"
"Bank account or service","Checking account","TX"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","FHA mortgage","SC"
"Consumer loan","Vehicle loan","TX"
"Mortgage","Conventional fixed mortgage","FL"
"Mortgage","FHA mortgage","GA"
"Mortgage","Other mortgage","AZ"
"Credit reporting","","TX"
"Debt collection","Other (phone, health club, etc.)","NY"
"Debt collection","Other (phone, health club, etc.)","NC"
"Consumer loan","Installment loan","TX"
"Bank account or service","Checking account","CA"
"Mortgage","FHA mortgage","MD"
"Mortgage","FHA mortgage","MD"
"Student loan","Non-federal student loan","CA"
"Bank account or service","Checking account","NY"
"Mortgage","FHA mortgage","AZ"
"Debt collection","Medical","CA"
"Debt collection","Medical","NJ"
"Credit card","","OH"
"Debt collection","Other (phone, health club, etc.)","NY"
"Mortgage","Conventional fixed mortgage","UT"
"Credit card","","CA"
"Payday loan","","NJ"
"Mortgage","FHA mortgage","TX"
"Consumer loan","Vehicle loan","SC"
"Debt collection","Other (phone, health club, etc.)","NY"
"Mortgage","Other mortgage","IL"
"Debt collection","Medical","PA"
"Credit reporting","","NJ"
"Mortgage","Conventional fixed mortgage","VA"
"Mortgage","Conventional fixed mortgage","VA"
"Student loan","Non-federal student loan","CA"
"Debt collection","Credit card","PA"
"Credit card","","WA"
"Credit card","","CA"
"Mortgage","Conventional fixed mortgage","MN"
"Credit card","","CA"
"Credit reporting","","OR"
"Debt collection","","NC"
"Debt collection","Auto","FL"
"Credit card","","CA"
"Mortgage","VA mortgage","ME"
"Credit card","","IL"
"Consumer loan","Installment loan","MN"
"Debt collection","","WA"
"Credit reporting","","NY"
"Mortgage","Conventional fixed mortgage","NY"
"Credit card","","CA"
"Credit reporting","","CA"
"Consumer loan","Installment loan","CA"
"Mortgage","Other mortgage","NH"
"Credit reporting","","CA"
"Credit reporting","","FL"
"Mortgage","Conventional fixed mortgage","VA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","Other (phone, health club, etc.)","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","","CA"
"Debt collection","Non-federal student loan","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Debt collection","Credit card","WA"
"Mortgage","Other mortgage","CA"
"Credit reporting","","UT"
"Credit reporting","","UT"
"Mortgage","Other mortgage","MI"
"Mortgage","Conventional fixed mortgage","WA"
"Mortgage","Conventional fixed mortgage","ME"
"Debt collection","Auto","NJ"
"Debt collection","Credit card","OH"
"Mortgage","Other mortgage","SC"
"Mortgage","Conventional fixed mortgage","GA"
"Bank account or service","Checking account","TN"
"Debt collection","Credit card","OH"
"Bank account or service","Other bank product/service","CA"
"Bank account or service","Other bank product/service","CA"
"Mortgage","Other mortgage","GA"
"Bank account or service","Checking account","MD"
"Mortgage","Other mortgage","GA"
"Credit reporting","","MD"
"Credit card","","NY"
"Credit card","","NY"
"Credit card","","NC"
"Bank account or service","Checking account","TX"
"Mortgage","Conventional fixed mortgage","NJ"
"Debt collection","","TX"
"Credit card","","NY"
"Mortgage","Other mortgage","AZ"
"Mortgage","Other mortgage","NY"
"Consumer loan","Vehicle loan","PA"
"Credit card","","NJ"
"Debt collection","","AP"
"Bank account or service","Other bank product/service","AZ"
"Mortgage","Other mortgage","FL"
"Debt collection","Other (phone, health club, etc.)","MD"
"Consumer loan","Installment loan","PA"
"Debt collection","","WA"
"Credit reporting","","FL"
"Bank account or service","Checking account","NY"
"Credit reporting","","CA"
"Credit reporting","","OR"
"Credit reporting","","OR"
"Credit reporting","","OR"
"Mortgage","Conventional fixed mortgage","IL"
"Credit reporting","","FL"
"Credit card","","NY"
"Bank account or service","Checking account","MO"
"Credit card","","NY"
"Credit reporting","","IL"
"Debt collection","","ID"
"Debt collection","Other (phone, health club, etc.)","CA"
"Mortgage","Conventional fixed mortgage","MI"
"Credit reporting","","NY"
"Credit reporting","","IL"
"Consumer loan","Installment loan","GA"
"Credit reporting","","AZ"
"Credit reporting","","AZ"
"Mortgage","Conventional adjustable mortgage (ARM)","PA"
"Credit reporting","","AZ"
"Credit reporting","","AZ"
"Debt collection","Payday loan","LA"
"Credit reporting","","AZ"
"Debt collection","Payday loan","LA"
"Credit reporting","","AZ"
"Credit reporting","","TN"
"Mortgage","Other mortgage","WA"
"Credit reporting","","MI"
"Mortgage","Conventional fixed mortgage","ME"
"Consumer loan","Vehicle loan","AR"
"Mortgage","FHA mortgage","IL"
"Debt collection","Credit card","FL"
"Mortgage","Other mortgage","PA"
"Bank account or service","Checking account","TX"
"Debt collection","Credit card","NV"
"Debt collection","Credit card","NV"
"Bank account or service","Other bank product/service","MN"
"Bank account or service","Checking account","TN"
"Bank account or service","Savings account","PA"
"Mortgage","Conventional fixed mortgage","NJ"
"Credit card","","FL"
"Mortgage","Other mortgage","CA"
"Bank account or service","Other bank product/service","IL"
"Bank account or service","Savings account","OH"
"Mortgage","Other mortgage","FL"
"Credit card","","AZ"
"Mortgage","Home equity loan or line of credit","OK"
"Bank account or service","Checking account","IL"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Medical","CA"
"Mortgage","Other mortgage","TX"
"Bank account or service","Savings account","NJ"
"Debt collection","Credit card","AZ"
"Bank account or service","Other bank product/service","CO"
"Debt collection","Credit card","AZ"
"Consumer loan","Vehicle loan","NC"
"Mortgage","Other mortgage","NJ"
"Debt collection","Other (phone, health club, etc.)","NH"
"Credit reporting","","NY"
"Debt collection","","AZ"
"Credit reporting","","MI"
"Credit reporting","","MI"
"Credit reporting","","MI"
"Bank account or service","Checking account","TX"
"Consumer loan","Vehicle loan","IL"
"Credit card","","CA"
"Debt collection","Payday loan","IN"
"Debt collection","Payday loan","IN"
"Credit reporting","","AZ"
"Debt collection","Credit card","NY"
"Credit card","","NC"
"Debt collection","Credit card","NY"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Home equity loan or line of credit","MI"
"Credit reporting","","FL"
"Credit reporting","","MI"
"Mortgage","Other mortgage","CT"
"Mortgage","FHA mortgage","IL"
"Mortgage","FHA mortgage","OR"
"Consumer loan","Installment loan","MS"
"Debt collection","","FL"
"Debt collection","Other (phone, health club, etc.)","MS"
"Debt collection","Credit card","MS"
"Debt collection","","CA"
"Mortgage","Other mortgage","NJ"
"Mortgage","Conventional fixed mortgage","GA"
"Debt collection","","TX"
"Mortgage","Other mortgage","FL"
"Consumer loan","Vehicle loan","TX"
"Credit card","","MI"
"Credit reporting","","CO"
"Credit reporting","","IN"
"Mortgage","Other mortgage","MI"
"Mortgage","Other mortgage","MI"
"Mortgage","Other mortgage","TN"
"Mortgage","Conventional fixed mortgage","SC"
"Debt collection","Credit card","TN"
"Mortgage","Conventional fixed mortgage","NC"
"Mortgage","Other mortgage","VA"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","Credit card","MO"
"Credit reporting","","GA"
"Debt collection","","LA"
"Credit reporting","","MI"
"Mortgage","Conventional fixed mortgage","MA"
"Mortgage","Conventional fixed mortgage","FL"
"Consumer loan","Vehicle loan","TX"
"Mortgage","Conventional fixed mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","MA"
"Debt collection","Other (phone, health club, etc.)","MO"
"Mortgage","Conventional fixed mortgage","MI"
"Student loan","Non-federal student loan","NY"
"Mortgage","Conventional fixed mortgage","TN"
"Credit reporting","","TX"
"Credit reporting","","LA"
"Consumer loan","Vehicle loan","IL"
"Mortgage","FHA mortgage","TX"
"Mortgage","Reverse mortgage","UT"
"Mortgage","Conventional fixed mortgage",""
"Debt collection","","CA"
"Consumer loan","Vehicle lease","CA"
"Debt collection","","NY"
"Debt collection","Auto","CA"
"Debt collection","Other (phone, health club, etc.)","AZ"
"Debt collection","Other (phone, health club, etc.)","TX"
"Mortgage","Conventional fixed mortgage","MO"
"Debt collection","","GA"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","FL"
"Bank account or service","Other bank product/service","FL"
"Mortgage","Other mortgage","NY"
"Credit card","","TX"
"Credit reporting","","FL"
"Debt collection","Other (phone, health club, etc.)","GA"
"Payday loan","","MI"
"Student loan","Non-federal student loan","WY"
"Mortgage","FHA mortgage","PA"
"Credit reporting","","FL"
"Mortgage","VA mortgage","CO"
"Credit reporting","","FL"
"Credit reporting","","DC"
"Mortgage","Conventional fixed mortgage","FL"
"Credit reporting","","FL"
"Mortgage","Other mortgage","NY"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Mortgage","FHA mortgage","MD"
"Bank account or service","Other bank product/service","TX"
"Student loan","Non-federal student loan","TX"
"Consumer loan","Vehicle loan","CA"
"Consumer loan","Vehicle loan","OH"
"Credit card","","WA"
"Mortgage","FHA mortgage","FL"
"Bank account or service","Checking account","WV"
"Debt collection","Medical","CA"
"Mortgage","Other mortgage","TX"
"Credit card","","MS"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Consumer loan","Installment loan","NY"
"Credit card","","MS"
"Credit card","","MS"
"Debt collection","","NJ"
"Consumer loan","Installment loan","MS"
"Debt collection","Other (phone, health club, etc.)","CT"
"Debt collection","Credit card",""
"Credit card","","PA"
"Debt collection","Credit card","OH"
"Debt collection","Auto","CA"
"Debt collection","Credit card","OH"
"Student loan","Non-federal student loan","AL"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Consumer loan","Vehicle loan","OK"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Other (phone, health club, etc.)","MD"
"Debt collection","Other (phone, health club, etc.)","CA"
"Debt collection","Payday loan","TX"
"Credit card","","WI"
"Credit reporting","","WA"
"Mortgage","Conventional fixed mortgage","VA"
"Mortgage","Conventional fixed mortgage","VA"
"Credit card","","FL"
"Debt collection","Credit card","TX"
"Bank account or service","Checking account","MI"
"Mortgage","Other mortgage","GA"
"Debt collection","","FL"
"Bank account or service","Checking account","NY"
"Debt collection","Credit card","CT"
"Debt collection","Credit card","CT"
"Payday loan","","CA"
"Debt collection","Credit card","CA"
"Debt collection","","FL"
"Credit reporting","","TX"
"Debt collection","Other (phone, health club, etc.)","IN"
"Mortgage","Conventional fixed mortgage","FL"
"Debt collection","Auto","NJ"
"Credit reporting","","TX"
"Credit reporting","","TX"
"Student loan","Non-federal student loan","NY"
"Debt collection","Credit card","CA"
"Money transfers","International money transfer","NY"
"Debt collection","Medical","MI"
"Consumer loan","Installment loan","VA"
"Debt collection","Other (phone, health club, etc.)","TX"
"Credit reporting","","CT"
"Debt collection","Payday loan","TX"
"Credit reporting","","TX"
"Mortgage","Other mortgage","IN"
"Debt collection","Other (phone, health club, etc.)","FL"
"Mortgage","Other mortgage","NY"
"Consumer loan","Vehicle loan","NY"
"Debt collection","","PA"
"Credit card","","TN"
"Debt collection","Medical","NY"
"Mortgage","Home equity loan or line of credit","FL"
"Credit reporting","","TX"
"Mortgage","Conventional fixed mortgage","CO"
"Debt collection","Medical","MD"
"Credit reporting","","NV"
"Credit reporting","","NV"
"Debt collection","","GA"
"Bank account or service","Checking account","NJ"
"Credit reporting","","NV"
"Debt collection","Payday loan","TX"
"Debt collection","Credit card","VA"
"Credit reporting","","TX"
"Debt collection","Mortgage","CA"
"Credit reporting","","MI"
"Debt collection","Medical","OH"
"Credit reporting","","CA"
"Mortgage","Conventional fixed mortgage","TX"
"Debt collection","Other (phone, health club, etc.)","MS"
"Mortgage","FHA mortgage","MI"
"Bank account or service","(CD) Certificate of deposit","MS"
"Debt collection","Auto","NM"
"Student loan","Non-federal student loan","NY"
"Debt collection","Other (phone, health club, etc.)","TX"
"Debt collection","Auto","NM"
"Bank account or service","Checking account","AZ"
"Mortgage","Other mortgage","NJ"
"Mortgage","FHA mortgage","CA"
"Mortgage","Conventional fixed mortgage","IL"
"Mortgage","Conventional adjustable mortgage (ARM)","PA"
"Mortgage","Conventional adjustable mortgage (ARM)","MS"
"Mortgage","Other mortgage","NC"
"Bank account or service","Checking account","WA"
"Mortgage","Other mortgage","MO"
"Mortgage","Other mortgage","NC"
"Debt collection","Credit card","NY"
"Consumer loan","Installment loan","TX"
"Mortgage","Other mortgage","NJ"
"Bank account or service","Other bank product/service","MD"
"Mortgage","Conventional fixed mortgage","CO"
"Credit reporting","","IL"
"Debt collection","Credit card","NY"
"Mortgage","FHA mortgage","NY"
"Mortgage","Conventional adjustable mortgage (ARM)","NY"
"Mortgage","FHA mortgage","NY"
"Debt collection","Other (phone, health club, etc.)","CA"
"Credit reporting","","WA"
"Debt collection","Payday loan","ME"
"Mortgage","Conventional fixed mortgage","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","DE"
"Debt collection","Medical","CA"
"Credit reporting","","CA"
"Debt collection","","AZ"
"Credit reporting","","IL"
"Credit card","","WI"
"Mortgage","Other mortgage","MN"
"Mortgage","Other mortgage","FL"
"Mortgage","Other mortgage","IL"
"Credit card","","TX"
"Bank account or service","Other bank product/service","CA"
"Mortgage","Other mortgage","MA"
"Mortgage","Other mortgage","FL"
"Debt collection","Mortgage","NY"
"Mortgage","Home equity loan or line of credit","NY"
"Mortgage","Other mortgage","CA"
"Mortgage","Other mortgage","CO"
"Mortgage","Other mortgage","HI"
"Mortgage","Other mortgage","VT"
"Mortgage","Other mortgage","NY"
"Mortgage","Other mortgage","NH"
"Bank account or service","Checking account","CA"
"Mortgage","Other mortgage","FL"
"Credit card","","OH"
"Bank account or service","Other bank product/service","OH"
"Mortgage","Conventional fixed mortgage","ID"
"Credit card","","NC"
"Debt collection","Other (phone, health club, etc.)","MI"
"Credit card","","TX"
"Mortgage","Conventional fixed mortgage","VA"
"Bank account or service","Checking account","FL"
"Credit reporting","","VA"
"Bank account or service","Checking account","TX"
"Mortgage","Other mortgage","TN"
"Mortgage","Other mortgage","FL"
"Mortgage","Home equity loan or line of credit","OH"
"Student loan","Non-federal student loan","NY"
"Credit reporting","","NJ"
"Mortgage","Conventional adjustable mortgage (ARM)","CA"
"Mortgage","Conventional adjustable mortgage (ARM)","AZ"
"Student loan","Non-federal student loan","TX"
"Mortgage","Conventional fixed mortgage","PA"
"Consumer loan","Vehicle loan","NM"
"Credit card","","WA"
"Student loan","Non-federal student loan","OH"
"Bank account or service","Other bank product/service","MD"
"Consumer loan","Installment loan","AZ"
"Mortgage","Conventional adjustable mortgage (ARM)","CT"
"Credit card","","MA"
